omega,ln(omega),real,imaginary,gain,phase,phase(degree)
58.88436554,1.77,-0.000243737,-5.32244E-05,-72.05926472,-2.926599595,-167.6818051
60.25595861,1.78,-0.000231672,-4.90734E-05,-72.51190901,-2.932855492,-168.0402416
61.65950019,1.79,-0.000220249,-4.52726E-05,-72.96201286,-2.938864006,-168.3845041
63.09573445,1.8,-0.000209429,-4.17894E-05,-73.40970483,-2.944639475,-168.7154141
64.5654229,1.81,-0.000199178,-3.85946E-05,-73.85510663,-2.950195117,-169.033729
66.0693448,1.82,-0.000189462,-3.56618E-05,-74.29833346,-2.955543138,-169.340148
67.60829754,1.83,-0.000180252,-3.29676E-05,-74.73949438,-2.960694824,-169.6353178
69.18309709,1.84,-0.000171518,-3.04907E-05,-75.17869264,-2.965660624,-169.9198372
70.79457844,1.85,-0.000163233,-2.8212E-05,-75.616026,-2.97045023,-170.1942614
72.44359601,1.86,-0.000155371,-2.61143E-05,-76.05158704,-2.975072641,-170.4591061
74.13102413,1.87,-0.00014791,-2.41819E-05,-76.48546348,-2.979536225,-170.7148506
75.8577575,1.88,-0.000140827,-2.24008E-05,-76.9177384,-2.983848773,-170.9619414
77.62471166,1.89,-0.000134102,-2.07581E-05,-77.34849055,-2.988017548,-171.2007946
79.43282347,1.9,-0.000127713,-1.92423E-05,-77.77779454,-2.992049331,-171.4317987
81.28305162,1.91,-0.000121644,-1.78429E-05,-78.20572114,-2.995950456,-171.6553168
83.17637711,1.92,-0.000115877,-1.65502E-05,-78.63233744,-2.999726854,-171.8716884
85.11380382,1.93,-0.000110396,-1.53556E-05,-79.05770707,-3.003384078,-172.0812319
87.096359,1.94,-0.000105185,-1.42511E-05,-79.48189041,-3.006927338,-172.2842458
89.12509381,1.95,-0.000100231,-1.32295E-05,-79.90494472,-3.010361525,-172.4810102
91.20108394,1.96,-9.55194E-05,-1.22841E-05,-80.32692439,-3.013691236,-172.6717886
93.32543008,1.97,-9.10379E-05,-1.1409E-05,-80.74788102,-3.016920799,-172.8568289
95.4992586,1.98,-8.67743E-05,-1.05986E-05,-81.16786363,-3.020054288,-173.0363646
97.7237221,1.99,-8.27176E-05,-9.84793E-06,-81.58691875,-3.023095548,-173.2106159
100,2,-7.88569E-05,-9.15225E-06,-82.0050906,-3.026048205,-173.3797907
